cluster,url,primary_keyword,secondary_keywords,search_intent,priority,baseline_date,gsc_index_request_status,next_check_2w,next_check_4w,gsc_clicks_28d,gsc_impressions_28d,gsc_avg_position,trend_status,next_action
Female Infertility,https://tupbebek.com/makaleler/hiperprolaktinemi-ve-kisirlik/,prolaktin yüksekliği kısırlık,"hiperprolaktinemi hamilelik; prolaktin yüksekliği gebeliği etkiler mi; prolaktinoma",Informational,Medium,2026-05-14,Submitted via hub,2026-05-28,2026-06-11,,,,,"Track symptom and fertility intent"
Female Infertility,https://tupbebek.com/makaleler/adet-gorememe/,amenore adet görememe,"sekonder amenore; primer amenore; adet görememe nedenleri",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Check broader gynecology query fit"
Female Infertility,https://tupbebek.com/makaleler/asherman-sendromu/,asherman sendromu,"rahim içi yapışıklık; asherman gebelik; histeroskopik adheziolizis",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Monitor low-volume specialist terms"
Female Infertility,https://tupbebek.com/makaleler/endoskopik-cerrahi-histeroskopi/,histeroskopi nedir,"rahim içi endoskopik cerrahi; histeroskopi ne zaman yapılır; polip miyom septum",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track procedure-definition terms"
Female Infertility,https://tupbebek.com/makaleler/ivf-oncesi-histeroskopi/,ivf öncesi histeroskopi,"tüp bebek öncesi histeroskopi gerekir mi; rahim içi değerlendirme; polip ivf",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Compare with histeroskopi general page"
Female Infertility,https://tupbebek.com/makaleler/hormonal-tedavi-adenomyozis/,adenomyozis tüp bebek,"adenomyozis hormonal tedavi; gnRH adenomyozis; ivf öncesi rahim hazırlığı",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track specialist long-tail"
Female Infertility,https://tupbebek.com/makaleler/vajinal-mikrobiyom-fiv/,vajinal mikrobiyom ivf,"laktobasil ivf; disbiyoz tüp bebek; kronik endometrit mikrobiyom",Informational,High,2026-05-14,Remaining after quota,2026-05-28,2026-06-11,,,,,"Request indexing tomorrow and track new hub support"
Female Infertility,https://tupbebek.com/makaleler/akinti-kasinti-koku/,vajinal akıntı kaşıntı koku,"mantar mı bakteriyel vajinoz mu; vajinal koku; akıntı kaşıntı",Informational,Medium,2026-05-14,Remaining after quota,2026-05-28,2026-06-11,,,,,"Track broad health query quality"
Female Infertility,https://tupbebek.com/makaleler/over-prp/,yumurtalık prp,"over prp; düşük amh prp; yumurtalık gençleştirme kanıt",Informational,High,2026-05-14,Remaining after quota,2026-05-28,2026-06-11,,,,,"Request indexing tomorrow; monitor controversial add-on"
Male Infertility,https://tupbebek.com/makaleler/varikosel-nedir-ne-zaman-ameliyat-gerekir/,varikosel nedir,"varikosel ameliyatı ne zaman gerekir; varikosel sperm; varikosel belirtileri",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track surgery-intent and symptoms"
Male Infertility,https://tupbebek.com/makaleler/azospermi-mikro-tese/,azospermi mikro tese,"sperm yok mikro tese; azospermi tedavisi; noa oa ayrımı",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Monitor high-value male infertility queries"
Male Infertility,https://tupbebek.com/makaleler/cerrahi-sperm-arama-tese/,micro tese,"tese nedir; tesa tese farkı; cerrahi sperm arama",Informational,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track TESE spelling variants"
Male Infertility,https://tupbebek.com/makaleler/erkek-dogurganlik-besin-takviyeleri/,erkek doğurganlık takviyeleri,"sperm için vitaminler; sperm artıran takviyeler; coq10 sperm",Informational,High,2026-05-14,Remaining after quota,2026-05-28,2026-06-11,,,,,"Request indexing tomorrow if quota resets"
Male Infertility,https://tupbebek.com/makaleler/cep-telefonu-sperm-kalitesi/,cep telefonu sperm kalitesi,"telefon sperm etkiler mi; radyasyon sperm; ısı sperm kalitesi",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Monitor myth/debunking SERP"
Male Infertility,https://tupbebek.com/makaleler/izotretinoin-sperm/,izotretinoin sperm,"zoretanin sperm; roaccutane sperm; izotretinoin baba adaylığı",Informational,Medium,2026-05-14,Remaining after quota,2026-05-28,2026-06-11,,,,,"Request indexing tomorrow; track brand-drug variants"
Lifestyle,https://tupbebek.com/makaleler/alkol-ve-fertilite/,alkol sperm kalitesi,"alkol sperm kalitesini etkiler mi; alkol ve fertilite; alkol tüp bebek",Informational,High,2026-05-14,Submitted,2026-05-28,2026-06-11,,,,,"Already submitted today; track male/female split"
Lifestyle,https://tupbebek.com/makaleler/duygusal-dayaniklik-rehberi/,tüp bebek stresi,"tüp bebek psikolojik destek; tüp bebek tedavisinde stres; transfer sonrası kaygı",Informational,High,2026-05-14,Submitted,2026-05-28,2026-06-11,,,,,"Already submitted today; watch support queries"
Lifestyle,https://tupbebek.com/makaleler/istanbul-tup-bebek-doktoru/,istanbul tüp bebek doktoru,"tüp bebek doktoru seçimi; ilk görüşme soruları; ivf doktor seçimi",Commercial investigation,High,2026-05-14,Submitted,2026-05-28,2026-06-11,,,,,"Already submitted today; watch branded/competitor SERP"
Lifestyle,https://tupbebek.com/makaleler/iyi-tup-bebek-merkezi/,tüp bebek merkezi seçimi,"iyi tüp bebek merkezi nasıl anlaşılır; tüp bebek merkezi seçerken; laboratuvar kalite kontrol",Commercial investigation,High,2026-05-14,Quota hit,2026-05-28,2026-06-11,,,,,"First URL to submit tomorrow after quota reset"
Fertility Preservation,https://tupbebek.com/makaleler/yumurta-dondurma-rehberi/,yumurta dondurma,"yumurta dondurma kaç yumurta; oosit dondurma; yumurta dondurma yaş",Commercial investigation,High,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track preservation and age modifiers"
Fertility Preservation,https://tupbebek.com/makaleler/kanser-ve-fertilite/,kanser fertilite koruma,"kanser öncesi yumurta dondurma; sperm dondurma kanser; onkofertilite",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch oncofertility long-tail"
Ovulation and IUI,https://tupbebek.com/makaleler/yumurtlama-takibi/,yumurtlama takibi,"en verimli günler; ovülasyon takibi; lh testi",Informational,High,2026-05-14,GSC insight page flagged,2026-05-28,2026-06-11,,,,,"GSC showed impression growth; review query winners"
Ovulation and IUI,https://tupbebek.com/makaleler/iui-nedir/,iui aşılama nedir,"aşılama tedavisi; iui başarı oranı; aşılama mı tüp bebek mi",Commercial investigation,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track treatment comparison queries"
Ovulation and IUI,https://tupbebek.com/makaleler/opk-ve-ivf/,pcos tüp bebek,"pcos ohss riski; polikistik over ivf; pcos transfer stratejisi",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Watch PCOS/IVF cannibalization"
Genetics,https://tupbebek.com/makaleler/pgt-m/,pgt-m nedir,"tek gen hastalığı embriyo tarama; pgt-m kimlere yapılır; preimplantasyon genetik tanı",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track specialist genetics terms"
Genetics,https://tupbebek.com/makaleler/pgt-cinsiyet-secimi/,pgt cinsiyet seçimi,"cinsiyet seçimi yasal mı; pgt ile cinsiyet; Türkiye cinsiyet seçimi yasağı",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Monitor legal-intent CTR"
Genetics,https://tupbebek.com/makaleler/akraba-evliligi/,akraba evliliği genetik risk,"taşıyıcılık taraması; genetik danışmanlık; pgt-m akraba evliliği",Informational,Medium,2026-05-14,Submitted earlier,2026-05-28,2026-06-11,,,,,"Track broad genetics query fit"
